game-name;publication-date;min-num-players;max-num-players;min-age;inception
KeyForge;2019;2;2;14;2025
Uno;1971;2;10;7;
Magic: The Gathering;1993;2;2;;1993
Munchkin;2000;2;6;12;
Q60983282;2005;2;4;8;
Trumped Up Cards;2016;4;8;18;
Wizard;1986;3;6;;1984
Belratti;2018;3;7;8;
Just One;2018;3;7;8;
Wingspan;2019;1;5;10;
Skat;;3;3;;1810
Catan Card Game;1996;2;2;;
Q115461881;2009;2;5;;
Governance game;;2;6;;2022
Q117463458;2020;3;6;;
Best Act;2018;3;8;;
Fantasy Realms;2017;2;6;;
Q115091332;2020;2;6;;
The Mind;;2;4;;2018
Evolution: Random Mutations;2013;2;4;;
Q117820398;1975;2;4;;
Fun Facts;2022;3;8;;
Go Golly!;2001;2;6;;
High Society;1995;3;5;;
Q29169338;2013;2;4;;
Fabled Fruit;2016;2;5;;
11 nimmt!;2010;2;7;;
Pit;1904;3;8;;
The Binding of Isaac: Four Souls;2018;2;4;;
Evolution;2014;2;6;;
Starship Catan;2001;2;2;;
Gold;2020;2;5;6;2019
